,cnn_top4_equal,cnn_top4_riskadjusted,cnn_top4_threshold,bench_momentum,bench_equalweight
2025-10-08,126.3112,133.1668,126.3112,129.8079,115.1921
2025-10-09,125.0975,133.4191,125.0975,129.2403,114.2854
2025-10-10,124.756,133.5596,124.756,126.9514,112.9098
2025-10-13,124.4378,132.9936,124.4378,128.6391,113.5641
2025-10-14,125.3789,133.8389,125.3789,130.4395,114.8429
2025-10-15,125.1191,133.5713,125.1191,130.5648,114.5379
2025-10-16,124.5701,133.1235,124.5701,130.9735,113.8517
2025-10-17,125.3344,134.3804,125.3344,130.3988,114.4411
2025-10-20,125.7398,134.5192,125.7398,131.6996,115.4984
2025-10-21,124.4783,135.8988,124.4783,131.745,116.0928
2025-10-22,125.3438,135.8857,125.3438,130.0659,116.0363
2025-10-23,125.5332,135.4423,125.5332,131.637,116.6639
2025-10-24,125.0385,134.6127,125.0385,132.0321,116.6473
2025-10-27,125.2272,134.4745,125.2272,133.5375,117.1304
2025-10-28,124.3337,133.4749,124.3337,131.7846,116.1956
2025-10-29,121.5066,131.4373,121.5066,135.5745,115.5597
2025-10-30,117.2438,129.977,117.2438,135.6143,114.1639
2025-10-31,116.1534,129.705,116.1534,135.0656,113.4977
2025-11-03,116.3171,128.8381,116.3171,133.8745,112.0328
2025-11-04,115.945,129.4429,115.945,132.2875,111.5433
2025-11-05,115.395,129.1065,115.395,133.4627,111.8138
2025-11-06,115.5643,129.3416,115.5643,133.4357,111.9255
2025-11-07,116.2726,130.4668,116.2726,133.776,112.8934
2025-11-10,116.1352,130.9418,116.1352,135.3782,113.3577
2025-11-11,117.7197,133.6378,117.7197,136.3177,114.5049
2025-11-12,117.8379,134.001,117.8379,136.2447,114.6211
2025-11-13,117.9626,131.1322,117.9626,134.1654,113.5505
2025-11-14,118.7376,130.9465,118.7376,134.4014,113.5735
2025-11-17,118.5659,131.2617,118.5659,134.1386,112.6917
2025-11-18,119.2702,132.2207,119.2702,133.384,112.6445
2025-11-19,118.8641,131.8921,118.8641,134.8961,112.0339
2025-11-20,117.0394,131.1622,117.0394,133.0526,111.1644
2025-11-21,117.2871,132.6017,117.2871,133.1713,112.4225
2025-11-24,116.2714,131.5437,116.2714,134.6184,112.424
2025-11-25,118.433,132.8798,118.433,135.5764,113.4086
2025-11-26,119.8554,133.384,119.8554,136.4107,113.8496
2025-11-28,120.37,133.9067,120.37,136.7952,114.5357
2025-12-01,119.9198,134.1473,119.9198,133.9974,113.4229
2025-12-02,122.4611,132.7686,122.4611,135.2997,113.438
2025-12-03,121.4302,132.8745,121.4302,135.9379,113.8733
2025-12-04,119.4485,132.1182,119.4485,136.6587,113.5502
2025-12-05,118.9874,131.5659,118.9874,135.4182,112.9516
2025-12-08,119.9617,132.4232,119.9617,135.2444,112.3765
2025-12-09,118.6587,131.9267,118.6587,134.4481,112.0472
2025-12-10,118.8395,133.9066,118.8395,137.3222,112.753
2025-12-11,120.1194,134.7549,120.1194,138.975,113.3617
2025-12-12,121.3785,135.7494,121.3785,138.597,113.5254
2025-12-15,121.8339,136.4655,121.8339,139.0067,113.8664
2025-12-16,121.164,135.8778,121.164,137.5771,113.1582
2025-12-17,122.006,135.8005,122.006,135.2761,113.4531
2025-12-18,121.0991,135.2469,121.0991,136.367,113.174
2025-12-19,121.2988,134.4119,121.2988,137.4946,112.9501
2025-12-22,122.0512,135.2946,122.0512,139.4503,113.7556
2025-12-23,121.9029,135.2108,121.9029,139.1432,113.9721
2025-12-24,122.8103,136.1632,122.8103,139.8521,114.4915
2025-12-26,122.531,135.56,122.531,139.2799,114.5079
2025-12-29,122.3832,135.8886,122.3832,138.4761,114.4292
2025-12-30,122.5278,136.0048,122.5278,138.2152,114.5375
2025-12-31,122.1838,135.5661,122.1838,137.2472,113.727
