,model_top4_equal,model_top4_riskadjusted,model_top4_threshold,model_top4_propweights,model_longshort,bench_reversion_zscore_90d,bench_reversion_zscore_input,bench_reversion_longshort,bench_equalweight
2025-06-23,115.3392,113.3065,115.3392,114.6839,110.5542,107.8186,106.1591,107.3799,107.0069
2025-06-24,114.8613,113.0521,114.8613,114.1897,108.8821,109.3999,107.8558,109.4883,107.2019
2025-06-25,114.2321,112.5806,114.2321,113.6744,109.1046,109.2378,107.4814,110.9965,106.5195
2025-06-26,115.821,113.8431,115.821,115.2377,110.4664,110.363,109.0843,111.7464,107.2024
2025-06-27,117.7286,113.9051,117.7286,116.8949,111.7298,110.9286,109.961,112.5616,107.831
2025-06-30,117.5785,114.7252,117.5785,116.8236,110.9526,111.2279,110.2132,111.8372,108.1608
2025-07-01,118.378,114.9492,118.378,117.6135,110.0291,113.427,111.7192,113.2245,109.1527
2025-07-02,119.2295,114.5071,119.2295,118.4256,111.1616,113.5015,113.3362,113.0937,109.1386
2025-07-03,120.3972,115.282,120.3972,119.5517,111.4795,113.7933,113.425,112.6443,109.5925
2025-07-07,120.932,115.6622,120.932,120.0486,112.0554,112.7028,113.2357,112.0995,109.3947
2025-07-08,120.8198,114.8494,120.8198,119.9552,112.3967,112.7286,114.9509,111.8821,109.4015
2025-07-09,121.1939,114.1968,121.1939,120.2184,112.1077,112.7404,114.7491,111.1846,109.9229
2025-07-10,121.6382,115.1546,121.6382,120.7372,111.879,113.599,115.7524,111.7816,110.6948
2025-07-11,121.1214,114.65,121.1214,120.1895,112.0777,112.7211,115.4902,111.664,110.2745
2025-07-14,122.3222,114.9547,122.3222,121.3506,113.577,111.5717,114.6957,110.0276,110.3403
2025-07-15,121.6792,114.5675,121.6792,120.6854,114.2513,110.4411,113.6884,109.774,109.4984
2025-07-16,121.9809,114.6745,121.9809,120.9711,113.5937,112.4938,113.8709,111.2216,110.2754
2025-07-17,121.8675,115.1171,121.8675,120.8215,113.2513,112.7849,113.2586,110.9713,110.5915
2025-07-18,121.3223,115.3049,121.3223,120.3028,112.3234,113.4943,111.4893,111.9004,110.2663
2025-07-21,121.4204,115.7925,121.4204,120.393,111.6462,113.6107,111.6963,112.6137,110.429
2025-07-22,121.8075,116.1931,121.8075,120.7982,111.1438,115.9162,112.9403,114.4654,111.2785
2025-07-23,124.9899,117.4842,124.9899,124.1262,113.5389,116.3496,114.854,112.0827,112.3512
2025-07-24,122.3233,117.6931,122.3233,121.5643,112.7798,116.1695,115.551,116.103,111.8495
2025-07-25,122.623,118.2184,122.623,121.8346,112.2724,115.9082,115.5816,115.6973,112.1556
2025-07-28,122.5061,116.2958,122.5061,121.6316,112.227,115.1578,115.3517,114.5959,111.5734
2025-07-29,121.1725,118.08,121.1725,120.524,111.0447,115.548,115.6783,115.5514,111.5652
2025-07-30,122.0327,118.7515,122.0327,121.3763,111.334,114.1637,115.4947,114.306,111.1898
2025-07-31,121.6759,118.8118,121.6759,121.0856,115.5251,113.1899,113.9688,113.8914,110.1235
2025-08-01,120.8815,119.0659,120.8815,120.3071,115.3667,113.5193,113.7587,115.8835,109.6954
2025-08-04,121.6442,119.6496,121.6442,121.0705,115.5161,115.0183,113.3739,116.2483,110.6309
2025-08-05,122.4051,119.885,122.4051,121.8046,117.2044,114.6887,114.3086,115.9048,110.5595
2025-08-06,122.6019,120.2471,122.6019,122.0331,116.4636,115.0542,113.8706,116.6557,110.6129
2025-08-07,122.5123,120.8267,122.5123,121.8961,115.3175,115.9563,114.3031,119.1354,110.9118
2025-08-08,123.1597,121.1952,123.1597,122.5395,116.5,116.9796,115.2786,120.8958,111.3018
2025-08-11,123.5328,121.9377,123.5328,122.9928,117.473,116.5608,115.1445,121.7073,111.025
2025-08-12,124.5819,121.9095,124.5819,123.9141,117.2755,117.5091,115.6578,122.5957,111.7899
2025-08-13,125.176,122.0277,125.176,124.5171,116.7812,118.6767,116.9601,122.3295,112.3625
2025-08-14,124.7932,121.3469,124.7932,124.1266,117.9273,117.949,116.8068,122.0517,111.6227
2025-08-15,124.941,121.1719,124.941,124.2153,118.4944,117.5765,117.7255,122.3004,111.3334
2025-08-18,124.577,120.5851,124.577,123.9032,118.3048,117.5661,117.6363,122.0259,111.1995
2025-08-19,124.1641,121.9358,124.1641,123.6605,116.9362,118.9164,118.0192,122.6136,111.849
2025-08-20,124.8666,122.985,124.8666,124.3756,117.2962,118.9014,118.9165,121.968,112.3657
2025-08-21,124.7188,122.6956,124.7188,124.2339,116.9985,118.8179,120.1007,122.5109,112.4286
2025-08-22,126.5725,122.7975,126.5725,125.9926,117.6871,120.187,121.614,121.2532,113.6077
2025-08-25,125.5463,121.7329,125.5463,125.0354,117.0964,118.7983,120.7411,120.6926,112.766
2025-08-26,126.8534,121.5881,126.8534,126.214,118.7174,118.0599,120.1296,119.1414,112.7594
2025-08-27,127.075,121.9466,127.075,126.4733,118.2713,118.5101,120.4793,119.1017,113.0088
2025-08-28,127.1131,121.4889,127.1131,126.4944,117.7741,118.7938,120.3492,119.1617,113.0423
2025-08-29,126.9891,122.2833,126.9891,126.4125,117.5527,119.5666,121.5272,121.6208,113.1802
2025-09-02,127.0209,122.4469,127.0209,126.4075,117.9704,119.9984,122.3188,122.8135,113.3049
2025-09-03,125.4327,121.7801,125.4327,124.9039,117.0951,119.9726,120.1695,123.1897,112.4465
2025-09-04,125.3267,121.2699,125.3267,124.813,116.6431,120.5081,120.1659,122.8454,112.8548
2025-09-05,125.061,121.42,125.061,124.5782,116.13,121.1219,118.754,123.1846,112.6859
2025-09-08,124.9337,120.4434,124.9337,124.414,116.103,120.4559,118.42,121.5568,112.3358
2025-09-09,124.7238,120.8742,124.7238,124.219,115.7034,120.1259,119.1711,121.4153,112.2816
2025-09-10,124.271,121.2371,124.271,123.8406,115.5648,119.1609,120.0417,120.5478,112.2802
2025-09-11,124.4372,122.1797,124.4372,124.2022,115.0508,120.0192,120.4899,119.6869,113.0263
2025-09-12,123.1114,121.7137,123.1114,122.9316,114.8752,119.3681,119.573,120.3028,112.3013
2025-09-15,122.8732,121.3718,122.8732,122.6974,114.5877,118.6521,118.9829,118.8349,112.1451
2025-09-16,122.5622,120.7842,122.5622,122.396,114.67,118.2524,120.0055,118.1311,112.0577
2025-09-17,122.8366,121.6898,122.8366,122.6667,114.0816,119.2507,120.6103,118.2834,112.6684
2025-09-18,121.9593,120.6416,121.9593,121.7522,113.007,118.5177,119.435,116.1274,112.5235
2025-09-19,122.2412,120.9881,122.2412,122.0447,113.2674,118.5288,119.0777,116.1701,112.4733
2025-09-22,121.0278,120.3585,121.0278,120.8654,112.0715,117.8208,117.9238,114.7804,111.926
2025-09-23,122.2375,121.6397,122.2375,122.0175,112.732,118.9772,119.0234,115.7745,112.8634
2025-09-24,122.12,121.8464,122.12,121.9352,113.952,117.969,119.5251,115.4461,112.4577
2025-09-25,121.869,121.1846,121.869,121.7292,113.0862,117.249,119.3213,113.7174,112.0194
2025-09-26,123.832,122.2269,123.832,123.6349,114.2296,117.8655,120.2422,113.3211,112.7565
2025-09-29,123.5557,122.801,123.5557,123.4484,113.9363,118.5606,118.6904,113.7833,112.9191
2025-09-30,124.5542,123.6611,124.5542,124.5795,113.5262,119.8584,120.2925,113.5395,114.0291
2025-10-01,124.5012,123.1937,124.5012,124.54,113.0977,119.5202,119.3403,113.2727,114.0104
2025-10-02,124.7177,123.1869,124.7177,124.7066,113.4071,118.8975,118.0916,112.4042,113.8654
2025-10-03,124.4891,123.577,124.4891,124.5474,112.2717,118.9968,119.146,111.958,114.4125
2025-10-06,125.0614,124.1324,125.0614,125.0919,112.8124,118.4527,119.728,110.8932,114.3853
2025-10-07,125.684,124.4318,125.684,125.6529,112.2194,119.1179,119.9384,111.802,114.936
2025-10-08,125.9957,124.3555,125.9957,125.9197,112.2491,118.4102,120.4312,110.121,115.1921
2025-10-09,123.641,122.9747,123.641,123.729,110.9908,117.4615,119.3573,110.2138,114.2854
2025-10-10,122.0013,122.1969,122.0013,122.1076,111.0195,116.6239,116.5639,111.273,112.9098
2025-10-13,122.3901,121.8549,122.3901,122.3923,111.5182,116.6634,119.5663,109.9507,113.5641
2025-10-14,123.375,123.2504,123.375,123.3786,111.2636,118.3575,121.2376,109.6924,114.8429
2025-10-15,121.8536,122.0575,121.8536,121.8541,110.5711,117.0918,119.6216,108.3062,114.5379
2025-10-16,121.2329,121.5915,121.2329,121.2385,111.0025,117.3567,117.6685,108.5299,113.8517
2025-10-17,121.7742,121.9605,121.7742,121.7806,110.5148,118.2576,119.0663,109.9146,114.4411
2025-10-20,123.0319,123.1115,123.0319,123.0186,110.3716,119.1566,120.0057,109.4641,115.4984
2025-10-21,123.553,123.424,123.553,123.5473,111.2311,121.3498,120.3894,111.3795,116.0928
2025-10-22,123.1958,123.1777,123.1958,123.1969,110.3375,120.6067,120.6428,112.1983,116.0363
2025-10-23,125.7798,125.2363,125.7798,125.7024,112.6225,122.2183,121.2151,112.4994,116.6639
2025-10-24,126.5334,125.4186,126.5334,126.55,111.7166,121.3887,120.2831,111.0419,116.6473
2025-10-27,126.4226,125.2421,126.4226,126.4442,111.0895,121.4193,120.9966,109.844,117.1304
2025-10-28,125.5067,124.1165,125.5067,125.4265,111.491,121.1085,120.4381,110.9171,116.1956
2025-10-29,122.9617,122.5185,122.9617,123.0073,110.2433,119.2075,120.0432,106.2258,115.5597
2025-10-30,118.558,120.044,118.558,118.798,109.8519,119.9944,119.0625,107.3999,114.1639
2025-10-31,118.5061,119.3315,118.5061,118.7112,112.0798,120.5095,118.1619,108.7731,113.4977
2025-11-03,118.3839,118.8303,118.3839,118.5154,114.6543,118.964,115.5004,108.2923,112.0328
2025-11-04,117.704,119.3527,117.704,117.995,114.3596,118.7228,114.5131,109.5454,111.5433
2025-11-05,117.6032,119.4076,117.6032,117.8883,114.0038,118.4383,115.0426,108.0825,111.8138
2025-11-06,117.0984,119.1637,117.0984,117.3804,113.2705,118.34,114.3962,108.1371,111.9255
2025-11-07,117.4407,120.1224,117.4407,117.8613,112.407,118.9323,115.7024,107.813,112.8934
2025-11-10,117.7944,120.5067,117.7944,118.2299,111.7532,119.3243,115.1954,106.6896,113.3577
2025-11-11,119.1904,122.0341,119.1904,119.6403,112.3492,121.7621,114.8879,108.7615,114.5049
2025-11-12,118.9734,121.6822,118.9734,119.3653,112.2844,122.2639,114.4987,109.2494,114.6211
2025-11-13,117.9967,120.8257,117.9967,118.3441,113.3855,119.3721,114.1833,108.9387,113.5505
2025-11-14,118.2508,121.2174,118.2508,118.6054,113.9064,118.9001,114.1505,108.5339,113.5735
2025-11-17,117.1549,120.8481,117.1549,117.5481,113.7682,117.8525,111.12,108.1885,112.6917
2025-11-18,116.4854,120.3587,116.4854,116.959,114.1451,117.7722,110.9395,108.8865,112.6445
2025-11-19,115.7309,119.9203,115.7309,116.3029,114.3864,117.1433,109.8438,107.8269,112.0339
2025-11-20,113.8532,119.1511,113.8532,114.5089,113.4988,116.4921,109.353,108.6558,111.1644
2025-11-21,114.268,119.5092,114.268,114.9167,111.5095,118.4777,111.0502,110.5097,112.4225
2025-11-24,113.3626,118.7779,113.3626,113.9884,109.8495,116.6765,111.176,107.8829,112.424
2025-11-25,114.9872,119.6936,114.9872,115.5883,110.2942,117.7395,110.6183,108.3491,113.4086
2025-11-26,115.6159,120.028,115.6159,116.1307,110.5931,117.6762,110.4729,107.6041,113.8496
2025-11-28,116.5644,120.701,116.5644,117.0503,110.6781,118.3903,111.5669,107.8202,114.5357
2025-12-01,115.1428,118.992,115.1428,115.5714,110.2523,118.3154,112.2395,110.5576,113.4229
2025-12-02,118.5529,118.9908,118.5529,118.6482,114.861,117.3793,112.6892,108.9911,113.438
2025-12-03,118.183,119.0566,118.183,118.3516,113.8317,117.9113,113.4315,108.6242,113.8733
2025-12-04,118.1744,119.2705,118.1744,118.4106,113.713,117.2256,113.8675,107.2541,113.5502
2025-12-05,117.481,118.483,117.481,117.6609,113.0011,116.4679,113.5284,107.6538,112.9516
2025-12-08,118.1617,118.2843,118.1617,118.242,114.6168,116.2532,111.9948,107.8057,112.3765
2025-12-09,116.9119,117.746,116.9119,117.0913,113.9026,116.015,112.8373,107.9466,112.0472
2025-12-10,117.9065,118.6388,117.9065,118.2141,114.0423,116.8805,113.7729,107.3948,112.753
2025-12-11,118.4252,118.7452,118.4252,118.6737,114.956,117.5858,113.684,107.0474,113.3617
2025-12-12,118.5999,118.7851,118.5999,118.7307,115.942,118.6233,112.3628,108.6863,113.5254
2025-12-15,119.7934,120.1007,119.7934,119.9227,116.5932,119.7674,111.8952,109.7071,113.8664
2025-12-16,119.9307,119.944,119.9307,119.9931,117.6304,119.9571,110.8911,110.4182,113.1582
2025-12-17,119.949,120.222,119.949,119.9897,116.6925,120.597,112.4225,112.9836,113.4531
2025-12-18,119.6371,119.5744,119.6371,119.6566,116.5721,120.0567,110.6741,111.0918,113.174
2025-12-19,120.6335,119.2396,120.6335,120.5622,118.3456,119.6957,110.2163,110.0747,112.9501
2025-12-22,121.3337,119.707,121.3337,121.3216,117.8019,119.2197,111.0374,108.0819,113.7556
2025-12-23,121.2174,119.7251,121.2174,121.1931,116.8879,119.3291,111.5977,108.1738,113.9721
2025-12-24,121.8773,120.3773,121.8773,121.8422,117.6231,120.2543,111.6871,108.6654,114.4915
2025-12-26,121.2542,120.0697,121.2542,121.1998,116.4537,120.0279,111.7339,108.8319,114.5079
2025-12-29,121.1822,119.988,121.1822,121.0933,116.3009,120.2405,111.619,109.5233,114.4292
2025-12-30,121.2323,120.0136,121.2323,121.116,116.2331,120.1396,112.6693,109.5225,114.5375
2025-12-31,120.536,119.3039,120.536,120.4155,116.599,119.4553,111.7214,109.8416,113.727
