Date,total_volume,total_dollar,valid_close_assets,valid_volume_assets
1976-09-28,23164650,16806360.763905823,23,23
1976-09-29,25818219,20377581.498498976,23,23
1976-09-30,20192578,15919620.675037295,23,23
1976-10-01,33445364,20928970.925038695,23,23
1976-10-04,22886544,16031218.968065798,23,23
1976-10-05,34889392,25388697.003889874,23,23
1976-10-06,38028823,26678110.07246846,23,23
1976-10-07,30295792,23996109.471780658,23,23
1976-10-08,34441730,22255455.727707103,23,23
1976-10-11,19195316,13960011.306849182,23,23
1976-10-12,23948828,19899015.248547703,23,23
1976-10-13,36965377,27697281.338819027,23,23
1976-10-14,25875327,19955725.95756176,23,23
1976-10-15,38853092,24304221.543607354,23,23
1976-10-18,28441435,18102468.574790716,23,23
1976-10-19,25734782,18370597.52810681,23,23
1976-10-20,21782142,14788403.900328279,23,23
1976-10-21,22106289,17206946.758746415,23,23
1976-10-22,25597909,19693228.1849688,23,23
1976-10-25,17518003,12518153.879117996,23,23
1976-10-26,25970676,16863905.647044346,23,23
1976-10-27,23645595,16490896.801232457,23,23
1976-10-28,23224312,15764936.446657911,23,23
1976-10-29,26030777,19873458.068524837,23,23
1976-11-01,27719874,17354832.791763544,23,23
1976-11-03,33402289,21713407.884985,23,23
1976-11-04,25848636,17633429.99808131,23,23
1976-11-05,34793157,21713044.54232642,23,23
1976-11-08,26679294,20017024.781744808,23,23
1976-11-09,33651124,21387933.21234204,23,23
1976-11-10,27578901,16805591.332889557,23,23
1976-11-11,15564757,9967055.089711174,23,23
1976-11-12,26875324,16210447.348758861,23,23
1976-11-15,25998847,17430456.136260644,23,23
1976-11-16,29265539,19789893.858802244,23,23
1976-11-17,31527190,20618706.40393883,23,23
1976-11-18,30544345,19273701.786906168,23,23
1976-11-19,38035630,21234488.784546167,23,23
1976-11-22,29604753,17796999.103633404,23,23
1976-11-23,26627246,14586754.13618666,23,23
1976-11-24,27571875,17260751.959204704,23,23
1976-11-26,24447293,16365258.390401065,23,23
1976-11-29,21305345,16148610.622687489,23,23
1976-11-30,20162803,12589004.403625667,23,23
1976-12-01,33655421,21488618.847334146,23,23
1976-12-02,30929228,19738464.48517935,23,23
1976-12-03,37952109,26304632.620715484,23,23
1976-12-06,33245527,18645232.980416775,23,23
1976-12-07,28259811,18617451.73677014,23,23
1976-12-08,42707124,23503727.813476413,23,23
1976-12-09,41486806,26859461.73576221,23,23
1976-12-10,35393709,19577402.00835195,23,23
1976-12-13,24908305,17274271.38544762,23,23
1976-12-14,41111083,24296988.52481723,23,23
1976-12-15,42726173,25824480.582113147,23,23
1976-12-16,33107384,21266775.876979828,23,23
1976-12-17,34128422,23665202.84614432,23,23
1976-12-20,34522656,18238580.170532256,23,23
1976-12-21,43615048,26132726.769150198,23,23
1976-12-22,41182084,25957765.72334367,23,23
1976-12-23,36541708,21636702.780052364,23,23
1976-12-27,32619072,18594570.461648226,23,23
1976-12-28,38979367,26234490.701820403,23,23
1976-12-29,28077010,16849852.78073269,23,23
1976-12-30,25473507,15991398.5433411,23,23
1976-12-31,17983606,13169214.131756678,23,23
1977-01-03,35217795,17061014.465739727,23,23
1977-01-04,29100283,16498311.967793018,23,23
1977-01-05,29696750,16881480.458218023,23,23
1977-01-06,31376408,19586767.96655652,23,23
1977-01-07,28440560,19344379.51202944,23,23
1977-01-10,24389079,17415220.68312773,23,23
1977-01-11,35899279,20521423.434956,23,23
1977-01-12,41554448,26983611.603566244,23,23
1977-01-13,34280277,23273671.15564248,23,23
1977-01-14,32897310,22988422.77625835,23,23
1977-01-17,26122995,21580459.0856933,23,23
1977-01-18,37197092,26138889.997510254,23,23
1977-01-19,27641177,22781932.706520885,23,23
1977-01-20,37826856,24472045.15959668,23,23
1977-01-21,35539270,29316670.652894586,23,23
1977-01-24,26700736,20972904.83173859,23,23
1977-01-25,40710927,25809304.610816956,23,23
1977-01-26,40808967,22766527.128156856,23,23
1977-01-27,38271230,21139598.7040309,23,23
1977-01-28,38756193,23216870.07117778,23,23
1977-01-31,33705734,21615697.334461078,23,23
1977-02-01,31372057,20492931.280359685,23,23
1977-02-02,32817334,22493151.568886325,23,23
1977-02-03,33443283,19372763.215303183,23,23
1977-02-04,29379482,18644678.354259253,23,23
1977-02-07,28309351,17920562.77696514,23,23
1977-02-08,30339147,20408309.88284999,23,23
1977-02-09,33160707,24771691.361744016,23,23
1977-02-10,34304844,23115149.583149135,23,23
1977-02-11,43546675,25998444.994222462,23,23
1977-02-14,33168310,21940818.77202809,23,23
1977-02-15,37609992,25476347.21419494,23,23
1977-02-16,40608122,25011189.59193194,23,23
1977-02-17,29927574,17229601.77490315,23,23
1977-02-18,28282662,16773109.918353379,23,23
1977-02-22,26412153,17549162.613608003,23,23
1977-02-23,25633348,16957710.49208972,23,23
1977-02-24,27903761,14761149.737446696,23,23
1977-02-25,24756418,16942538.879049227,23,23
1977-02-28,21220293,12623520.767647043,23,23
1977-03-01,37758555,21049608.424283892,23,23
1977-03-02,27174777,17074583.202791035,23,23
1977-03-03,30979507,19528401.93654205,23,23
1977-03-04,35656533,21919689.085615292,23,23
1977-03-07,34518613,18122900.552579403,23,23
1977-03-08,30530948,20874814.542226523,23,23
1977-03-09,38175906,31756259.36179118,23,23
1977-03-10,42831139,24378311.664002538,23,23
1977-03-11,26860361,17395756.05137682,23,23
1977-03-14,28240344,17198724.665336728,23,23
1977-03-15,37471587,23961149.420801163,23,23
1977-03-16,28331521,22472286.128796667,23,23
1977-03-17,30515955,19721726.303637013,23,23
1977-03-18,23948927,17045573.090968907,23,23
1977-03-21,24003696,16071828.116393968,23,23
1977-03-22,26294176,18213542.17460817,23,23
1977-03-23,37973596,23056730.019837722,23,23
1977-03-24,33550672,22797294.454316497,23,23
1977-03-25,21729077,16131334.746232957,23,23
1977-03-28,36378691,18985243.41140631,23,23
1977-03-29,24170014,14922667.737756044,23,23
1977-03-30,27113595,20893790.237191886,23,23
1977-03-31,23772698,13556368.045178771,23,23
1977-04-01,26349983,18346932.30065438,23,23
1977-04-04,25483543,14803775.138863564,23,23
1977-04-05,31433937,19974110.616722584,23,23
1977-04-06,23214578,15175617.223121047,23,23
1977-04-07,25180229,14322710.205040604,23,23
1977-04-11,27619161,18612089.109419197,23,23
1977-04-12,38468270,23475872.61050026,23,23
1977-04-13,32208724,28887602.180501893,23,23
1977-04-14,45553928,30184053.42749849,23,23
1977-04-15,33356992,21464788.6589123,23,23
1977-04-18,27359786,17597591.67460248,23,23
1977-04-19,22624349,15274656.246801168,23,23
1977-04-20,31859986,22234907.10978648,23,23
1977-04-21,33914643,26495296.298582852,23,23
1977-04-22,37441938,27240839.025742307,23,23
1977-04-25,40089174,25789410.774029553,23,23
1977-04-26,34347373,19501540.395659864,23,23
1977-04-27,36842090,23014233.637333483,23,23
1977-04-28,33427347,22544427.587390363,23,23
1977-04-29,28716521,17697703.01353416,23,23
1977-05-02,22193112,15365481.397203803,23,23
1977-05-03,28317662,17746121.90683125,23,23
1977-05-04,34960057,23201777.73496926,23,23
1977-05-05,29560904,20211153.12287198,23,23
1977-05-06,29846322,19674743.886928007,23,23
1977-05-09,25486624,15533215.602614343,23,23
1977-05-10,33238522,20903476.395356417,23,23
1977-05-11,28673329,19328122.12347138,23,23
1977-05-12,30161159,22049115.844912067,23,23
1977-05-13,25429573,17858253.266961142,23,23
1977-05-16,27473522,17123744.227920264,23,23
1977-05-17,25807852,19443894.77900198,23,23
1977-05-18,42295224,25787201.42271766,23,23
1977-05-19,30152435,16973021.108145565,23,23
1977-05-20,38008854,23094992.385537744,23,23
1977-05-23,27389742,19892866.898337066,23,23
1977-05-24,32073106,23947872.382433176,23,23
1977-05-25,38705065,21303948.282967955,23,23
1977-05-26,41162796,22729999.56846717,23,23
1977-05-27,29629837,17679440.792855248,23,23
1977-05-31,27765631,16553208.158096403,23,23
1977-06-01,27438246,21019787.409919426,23,23
1977-06-02,23469616,17547342.205860734,23,23
1977-06-03,30007196,19365652.102559477,23,23
1977-06-06,23094366,16074617.714897215,23,23
1977-06-07,31876244,17559029.278411478,23,23
1977-06-08,30568011,20511163.539587393,23,23
1977-06-09,19784603,14106757.757502079,23,23
1977-06-10,25079081,16377859.152802974,23,23
1977-06-13,37746772,19772458.471420437,23,23
1977-06-14,41849831,27945764.96708855,23,23
1977-06-15,30687574,23548461.756583333,23,23
1977-06-16,34273145,23519839.635167003,23,23
1977-06-17,21341891,13513672.124421775,23,23
1977-06-20,22503972,13976065.582839757,23,23
1977-06-21,32921828,24420410.809692323,23,23
1977-06-22,30330792,19466639.497185037,23,23
1977-06-23,23315112,19181507.80661601,23,23
1977-06-24,29664901,21966152.411349535,23,23
1977-06-27,20034767,11897750.74800393,23,23
1977-06-28,26569390,19109716.262178123,23,23
1977-06-29,29503333,20827513.812281266,23,23
1977-06-30,23000730,17181634.794976085,23,23
1977-07-01,24593519,18103095.412981734,23,23
1977-07-05,22257479,13865502.9213624,23,23
1977-07-06,22703442,16467612.456035733,23,23
1977-07-07,21658553,16294772.784777462,23,23
1977-07-08,26528446,15717517.776796848,23,23
1977-07-11,25640243,17825803.700109154,23,23
1977-07-12,28740688,19186125.63724506,23,23
1977-07-13,19678476,16858609.070718333,23,23
1977-07-15,37814900,37676041.48682034,23,23
1977-07-18,39065393,29614899.15184301,23,23
1977-07-19,42433040,27697788.161026895,23,23
1977-07-20,33439523,21234833.19148487,23,23
1977-07-21,23401601,17440144.824976385,23,23
1977-07-22,21297093,16030242.556416392,23,23
1977-07-25,26450711,19676734.94957532,23,23
1977-07-26,22463273,16299077.616687283,23,23
1977-07-27,24039604,18931097.299675494,23,23
1977-07-28,27160102,18268936.014598757,23,23
1977-07-29,20281673,14885543.37219438,23,23
1977-08-01,26181011,16154018.551142797,23,23
1977-08-02,22755638,13068307.50836417,23,23
1977-08-03,24002374,16115692.309218556,23,23
1977-08-04,29559055,21380684.85487175,23,23
1977-08-05,34725297,18711257.633808136,23,23
1977-08-08,18946622,13837097.270888045,23,23
1977-08-09,30626569,19517686.125006914,23,23
1977-08-10,26166168,16929529.759947807,23,23
1977-08-11,38774206,21368767.56389606,23,23
1977-08-12,25031226,15063997.748047039,23,23
1977-08-15,34326737,20599282.829170138,23,23
1977-08-16,28517347,17502678.701194525,23,23
1977-08-17,33720854,19364096.252979755,23,23
1977-08-18,47834394,21318601.781597167,23,23
1977-08-19,37615646,21041504.621754706,23,23
1977-08-22,29301219,19927369.0638597,23,23
1977-08-23,32946680,18582101.823465765,23,23
1977-08-24,28567023,17491488.13309376,23,23
1977-08-25,26189269,20416457.07108298,23,23
1977-08-26,29270731,19545575.032770038,23,23
1977-08-29,22886724,14167201.391794264,23,23
1977-08-30,24191872,14930590.684290111,23,23
1977-08-31,19735022,13338288.496278405,23,23
1977-09-01,21182607,13823728.05156678,23,23
1977-09-02,17677201,12414131.37229392,23,23
1977-09-06,20515895,15223867.392004132,23,23
1977-09-07,19100293,14544722.396034688,23,23
1977-09-08,19446977,15155320.641269118,23,23
1977-09-09,23928111,17992050.18404159,23,23
1977-09-12,25369556,17027276.89670977,23,23
1977-09-13,17964598,12097095.716354072,23,23
1977-09-14,20737631,11191688.201432198,23,23
1977-09-15,21759850,14948355.821229592,23,23
1977-09-16,22211176,18123410.604504734,23,23
1977-09-19,20900571,15362120.82883352,23,23
1977-09-20,28164753,16077948.342167288,23,23
1977-09-21,24980467,18294126.593917906,23,23
1977-09-22,22531569,14657319.104466408,23,23
1977-09-23,19804161,13906051.605198726,23,23
1977-09-26,22283144,12205294.868209004,23,23
1977-09-27,20668981,15371850.873432577,23,23
1977-09-28,23051267,15721836.462752357,23,23
1977-09-29,27054945,17593263.368808508,23,23
1977-09-30,23888280,15363263.266803667,23,23
1977-10-03,23201681,14983291.477696389,23,23
1977-10-04,28906714,19694297.00870736,23,23
1977-10-05,27363504,16715369.11704731,23,23
1977-10-06,20246284,13313201.658950537,23,23
1977-10-07,16509817,12207448.97301966,23,23
1977-10-10,14559610,6122929.702340364,23,23
1977-10-11,21657619,14193809.885710359,23,23
1977-10-12,41151090,22196247.53234905,23,23
1977-10-13,33068188,19579468.58659634,23,23
1977-10-14,34573999,21220667.296993017,23,23
1977-10-17,18115693,11684554.243102685,23,23
1977-10-18,21338026,12540176.851652652,23,23
1977-10-19,35348743,20081823.423582107,23,23
1977-10-20,25639873,16121127.520398647,23,23
1977-10-21,23000959,17043085.97904861,23,23
1977-10-24,22183334,16999962.72983855,23,23
1977-10-25,34419905,24468931.297687367,23,23
1977-10-26,43084176,30173012.44118008,23,23
1977-10-27,31691258,20283513.45238641,23,23
1977-10-28,23788213,13136229.808129191,23,23
1977-10-31,20352963,12759764.06412068,23,23
1977-11-01,21521840,15706982.087944299,23,23
1977-11-02,34071386,22387707.187642723,23,23
1977-11-03,24029515,18627372.89544514,23,23
1977-11-04,29595215,23212964.91346082,23,23
1977-11-07,26568018,17164444.832503453,23,23
