config_id,config_name,input_window,output_window,seed,hidden_layers,neurons,activation,dropout_rate,l2,learning_rate,batch_size,batch_norm,MAE_train,MAE_val,epochs,best_epoch,best_history_val_loss,final_history_val_loss,n_params,train_rows,val_rows,test_rows,MAE_test
cfg_010,mlp_4x64_elu_drop0p3_l21em05_lr3em03_bs128_bn,90,90,42,4,64,elu,0.3,1e-05,0.003,128,True,0.0012852521643368121,0.0009210540306454823,100,80,0.0009310368914157152,0.0009467420750297606,147287,12965,1440,1601,0.0012857146374849553
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,5,1,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.01183287563383415,0.00903809904281724,94,89,0.009038030169904232,0.009038999676704407,44223,13106,1456,1618,0.012235513101338791
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,5,5,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.005473623903468105,0.004154284502891387,95,91,0.004153634421527386,0.004156848415732384,44223,13102,1456,1618,0.005575424107037093
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,5,30,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.002204820894698224,0.0017050924452524157,96,93,0.001704417634755373,0.0017050628084689379,44223,13081,1454,1616,0.002326216668258004
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,5,90,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.0012663380773057585,0.0009295195566577537,95,75,0.0009301453246735036,0.0009322947007603943,44223,13033,1448,1610,0.001264313436069593
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,10,1,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.01183114279583413,0.009038183793969921,94,88,0.009038115851581097,0.009039699099957943,55723,13101,1456,1618,0.012235646558157374
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,10,5,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.005474444790590244,0.004149077575264653,91,86,0.004149345681071281,0.0041497014462947845,55723,13098,1455,1618,0.005576653242029444
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,10,30,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.0022043425753340293,0.0017024694914171965,112,92,0.0017024764092639089,0.001703697140328586,55723,13078,1453,1615,0.002325094271711076
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,10,90,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.0012666810547030476,0.0009286076384959642,104,84,0.0009287168504670262,0.0009302906109951437,55723,13029,1448,1609,0.0012620597557886075
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,30,1,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.011758239816408519,0.009056677456730226,93,73,0.009125404991209507,0.009130873717367649,101723,13085,1454,1616,0.012295440812168075
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,30,5,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.005419928679412952,0.004145479824364976,85,80,0.004196823108941317,0.004199277609586716,101723,13081,1454,1616,0.005585330473443842
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,30,30,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.002204058536837187,0.001695998456088027,93,82,0.0016966757830232382,0.0016969236312434077,101723,13062,1451,1613,0.0023220634585244546
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,30,90,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.001263693372154312,0.0009311073612633963,94,84,0.0009317346848547459,0.0009329210151918232,101723,13013,1446,1607,0.001265464454428543
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,90,1,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.011543328936527639,0.0092164692801189,126,106,0.009321458637714386,0.00933170598000288,239723,13037,1448,1610,0.012458600488648528
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,90,5,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.005312687462773271,0.004215028896251288,116,112,0.004281412344425917,0.004281776491552591,239723,13033,1448,1610,0.005663873055398968
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,90,30,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.0021369989709938406,0.0017040087406421157,109,100,0.0017420282820239663,0.0017439363291487098,239723,13013,1446,1607,0.002332169610339076
cfg_007,mlp_4x100_gelu_drop0p2_l21em05_lr1em04_bs256_nobn,90,90,42,4,100,gelu,0.2,1e-05,0.0001,256,False,0.0012303050068201496,0.0009348900999689204,89,79,0.0009641317883506417,0.0009667592821642756,239723,12965,1440,1601,0.0012938799175005323
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,5,1,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.011763126486603284,0.009061698400114756,95,89,0.009186591021716595,0.009191320277750492,13463,13106,1456,1618,0.01228551871491279
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,5,5,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.00543595699320027,0.004171987844213604,102,85,0.004279084503650665,0.0042846063151955605,13463,13102,1456,1618,0.0056114205973430385
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,5,30,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0021238602071373828,0.001720385561887932,164,144,0.0017673574620857835,0.0017696043942123652,13463,13081,1454,1616,0.002365279946401902
cfg_006,mlp_2x64_relu_drop0p05_l21em06_lr1em04_bs64_bn,5,90,42,2,64,relu,0.05,1e-06,0.0001,64,True,0.0012158757050297012,0.0009425736970264723,178,158,0.0009759615059010684,0.0009789745090529323,13463,13033,1448,1610,0.001289900003783392
